"Question","Pre","Pre.N","Post","Post.N","Diff"
"All of the following are true of supercoiling in chromosomal DNA EXCEPT:",0.294117647058824,17,0.85,20,0.555882352941176
"Lipopolysaccharides are found in:",0.315789473684211,19,0.866666666666667,15,0.550877192982456
"A transmembrane sensor kinase protein senses an environmental condition outside __________ bacteria or in the periplasm of a/an __________ bacteria.",0.333333333333333,18,0.882352941176471,17,0.549019607843137
"Rho functions in:",0.380952380952381,21,0.904761904761905,21,0.523809523809524
"In many bacteria, the electron carrier __________ is used for biosynthesis, whereas __________ feeds the electron transport system.",0.347826086956522,23,0.846153846153846,13,0.498327759197324
"An organism that grows at the top of a tube of thioglycolate broth medium is probably a(n):",0.454545454545455,22,0.933333333333333,15,0.478787878787879
"Microbial colonization of the eye is inhibited by the presence of antimicrobial factors, like:",0.392857142857143,28,0.866666666666667,15,0.473809523809524
"Which pair of traits can the same organism have?",0.416666666666667,24,0.888888888888889,18,0.472222222222222
"Which of the following is caused by a fungus?",0.35,20,0.818181818181818,22,0.468181818181818
"Which of the following organisms are commonly used as probiotics?",0.285714285714286,21,0.75,12,0.464285714285714
"Gene transfer from parent to child is called:",0.5,18,0.96,25,0.46
"The chemiosmotic theory states that the proton potential is composed of __________.",0.0714285714285714,14,0.526315789473684,19,0.454887218045113
"Hektoen agar will grow all of the following microorganisms EXCEPT:",0.130434782608696,23,0.578947368421053,19,0.448512585812357
"An organism found on human skin that derives benefit from the host but does NOT harm it is described as a/an:",0.555555555555556,27,1,17,0.444444444444444
"When the chromosome replicates, how is the newly made strand related to its template strand?",0.44,25,0.882352941176471,17,0.442352941176471
"<i>Alexandrium</i> and <i>Karenia</i> are representative of flagellate, pigmented marine phototrophs responsible for the toxic red tide blooms. These organisms fit in the category of:",0.529411764705882,17,0.947368421052632,19,0.417956656346749
"How is most sterilization performed for the controlled study of microbes?",0.45,20,0.866666666666667,15,0.416666666666667
"Disposable plasticware such as petri dishes can be sterilized using which of the following?",0.333333333333333,21,0.739130434782609,23,0.405797101449275
"Bacteria in the genera __________ produce durable endospores that remain viable for millennia.",0.55,20,0.952380952380952,21,0.402380952380952
"The Mueller-Hinton medium used in the Kirby-Bauer assay contains no para-aminobenzoic acid (PABA, normally found in most media) because it:",0.25,24,0.652173913043478,23,0.402173913043478
"Superantigens:",0.52,25,0.909090909090909,22,0.389090909090909
"Which of the following is NOT part of initiation of transcription?",0.130434782608696,23,0.5,16,0.369565217391304
"The influenza reassortment process is enhanced by a particular feature of the virus, namely, the __________ genome.",0.294117647058824,17,0.652173913043478,23,0.358056265984655
"The process of importing free DNA into cells is known as __________.",0.545454545454545,22,0.888888888888889,18,0.343434343434343
"Organotrophy is a term that describes microorganisms:",0.304347826086957,23,0.647058823529412,17,0.342710997442455
"The type of antimicrobial drug that would be least toxic to humans is a drug that:",0.428571428571429,21,0.769230769230769,26,0.340659340659341
